date	time	mag	mag_limit	dmag	integration	band	instrument	date_unit	extinction_corrected	time_frame	mag_unit	mag_type	time_unit	dtime
2006-Feb-20.8924	2.7434	18.14	0	0.06	8x150	B	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-21.0307	2.8817	18.07	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-22.1219	3.9729	17.87	0	0.08	450	B	KAIT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-23.0550	4.906	17.68	0	0.04	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-23.1209	4.9719	17.74	0	0.08	450	B	KAIT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-24.1218	5.9728	17.56	0	0.08	450	B	KAIT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-25.0467	6.8977	17.54	0	0.04	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-26.0398	7.8908	17.47	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-27.0483	8.8993	17.43	0	0.03	60	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Feb-28.0037	9.8547	17.49	0	0.04	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-01.0337	10.8847	17.57	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-02.0297	11.8807	17.66	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-03.0330	12.884	17.81	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-04.0303	13.8813	17.95	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-05.0119	14.8629	18.11	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-06.0364	15.8874	18.17	0	0.03	2x30	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-07.8899	17.7409	18.56	0	0.07	5x100	B	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
2006-Mar-08.0332	17.8842	18.64	0	0.04	60	B	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN
