time	band	mag	mag_limit	dmag	instrument	seeing	time_unit	mag_unit	mag_type	extinction_corrected	dtime	time_frame	reference
0.70700	i'	19.48	0	0.16	GIT	3.77	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
0.72400	R	19.39	0	0.06	DFOT	3.18	days	Vega	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
0.72900	R	19.46	0	0.07	DFOT	3.25	days	Vega	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
0.74800	R	19.7	0	0.1	HCT	2.18	days	Vega	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
0.80300	R	19.81	0	0.09	HCT	2.1	days	Vega	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.82700	r'	19.96	0	0.2	GIT	3.27	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.83900	r'	20.04	0	0.26	GIT	3.44	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.71500	r'	20.71	0	0.27	GIT	3.57	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.78200	i'	19.78	0	0.24	GIT	3.21	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.81900	i'	19.53	0	0.45	GIT	4.18	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.81300	r'	20.23	0	0.37	GIT	4.51	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
9.75300	R	21.38	0	0.16	HCT	2.73	days	Vega	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
9.75700	r'	21.53	0	0.32	GIT	3.98	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
9.79100	i'	20.35	0	0.39	GIT	4.04	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.78800	g'	21.96	0	0.4	GIT	4.08	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.80100	r'	21.35	0	0.41	GIT	4.01	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.81300	i'	20.05	0	0.37	GIT	4.05	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
11.77000	r'	21.44	0	0.45	GIT	4.35	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
11.78200	i'	20.32	0	0.36	GIT	4.07	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
12.75700	r'	21.65	0	0.35	GIT	4.85	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
12.76800	r'	21.74	0	0.41	GIT	4.95	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
12.80000	i'	20.11	0	0.22	GIT	3.81	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
13.70300	g'	21.7	0	0.4	GIT	4.04	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
13.72600	r'	21.56	0	0.36	GIT	4.03	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
13.73600	r'	21.44	0	0.28	GIT	4.03	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
13.74700	i'	20.29	0	0.24	GIT	3.97	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
15.69200	r'	21.35	0	0.31	GIT	4.12	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
15.72800	i'	20.59	0	0.35	GIT	4.01	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
18.73600	i'	20.76	0	0.33	GIT	3.97	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
19.77200	i'	20.57	0	0.24	GIT	3.72	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
24.70900	r'	21.26	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
24.72400	i'	20.42	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
25.69700	r'	21.25	0	0.31	GIT	4.17	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
25.71400	i'	20.7	0	0.4	GIT	4.18	days	AB	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
