time	band	mag	mag_limit	dmag	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime	instrument	reference	integration	dmag2	integration_unit	extincition_corrected
0.618	g'	20.3	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	r'	20.09	0	0.13	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	i'	19.85	0	0.14	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	z'	19.58	0	0.16	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	J	19.46	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	H	18.59	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.618	K_{s}	18.16	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	g'	20.55	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	r'	20.17	0	0.1	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	i'	19.92	0	0.1	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	z'	19.65	0	0.09	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	J	20.0	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.639	H	19.22	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	g'	20.52	0	0.07	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	r'	20.19	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	i'	19.93	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	z'	19.74	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	J	19.4	0	0.13	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.665	H	18.96	0	0.19	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	g'	20.6	0	0.03	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	r'	20.35	0	0.04	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	i'	20.1	0	0.04	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	z'	19.89	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	J	19.5	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	H	19.25	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.689	K_{s}	18.55	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	g'	20.73	0	0.02	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	r'	20.35	0	0.03	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	i'	20.16	0	0.03	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	z'	19.97	0	0.04	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	J	19.48	0	0.06	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	H	19.15	0	0.09	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.714	K_{s}	19.11	0	0.14	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	r'	20.43	0	0.06	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	i'	20.16	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	z'	19.96	0	0.1	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	J	19.68	0	0.2	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	H	19.49	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.736	K_{s}	18.54	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
0.762	J	19.78	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	g'	21.98	0	0.07	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	r'	21.8	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	i'	21.76	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	z'	21.56	0	0.14	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	J	21.32	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.645	H	20.5	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	g'	22.01	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	r'	21.85	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	i'	21.81	0	0.1	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	z'	21.66	0	0.12	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	J	21.63	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.689	H	20.98	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	g'	22.05	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	r'	21.8	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	i'	21.85	0	0.08	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	z'	21.82	0	0.13	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	J	21.61	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
1.736	H	20.92	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	g'	22.59	0	0.05	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	r'	22.38	0	0.06	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	i'	22.25	0	0.11	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	z'	22.42	0	0.15	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	J	21.8	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	H	20.73	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
2.624	K_{s}	20.23	1	NaN	days	AB	apparent	observer	False	NaN	GROND	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract	NaN	NaN	NaN	NaN
