wavelength,flux
3003.669131,-2.157793e-16
3007.432904,-4.265458e-16
3011.196677,4.227212e-16
3014.96045,7.253174e-16
3018.724223,4.146823e-16
3022.487996,9.001023e-17
3026.251769,-4.332122e-16
3030.015542,-4.591323e-16
3033.779315,1.433491e-16
3037.543088,7.766818e-16
3041.306861,4.071995e-16
3045.070634,-8.643087000000001e-17
3048.834407,1.2415200000000002e-17
3052.59818,4.148227e-16
3056.361953,4.989679e-16
3060.125726,1.220777e-16
3063.8895,-1.063271e-16
3067.653273,-1.52684e-16
3071.417046,2.547767e-16
3075.180819,-6.017773e-17
3078.944592,1.7465730000000002e-17
3082.708365,6.210555e-17
3086.472138,2.15606e-16
3090.235911,-8.421477000000001e-17
3093.999684,-2.847697e-17
3097.763457,1.254044e-18
3101.52723,1.983487e-17
3105.291003,7.151857e-17
3109.054776,4.077215e-16
3112.818549,3.362983e-16
3116.582322,2.151645e-16
3120.346095,1.761388e-16
3124.109868,2.59248e-16
3127.873641,-5.128768e-17
3131.637414,7.151620000000001e-17
3135.401187,1.222053e-16
3139.16496,1.989031e-16
3142.928734,2.324386e-16
3146.692507,5.515488e-17
3150.45628,1.712673e-16
3154.220053,1.496609e-16
3157.983826,8.503040000000001e-17
3161.747599,1.287431e-16
3165.511372,2.530459e-16
3169.275145,2.370687e-16
3173.038918,1.282825e-16
3176.802691,1.690099e-16
3180.566464,1.902774e-16
3184.330237,3.293783e-16
3188.09401,3.12624e-16
3191.857783,2.469581e-16
3195.621556,2.704286e-16
3199.385329,4.402948e-16
3203.149102,3.873841e-16
3206.912875,6.201758e-16
3210.676648,6.000231e-16
3214.440421,4.106611e-16
3218.204194,3.70694e-16
3221.967967,1.648927e-16
3225.731741,3.160241e-16
3229.495514,4.153436e-16
3233.259287,4.284997e-16
3237.02306,3.030766e-16
3240.786833,3.360951e-16
3244.550606,3.329633e-16
3248.314379,3.877165e-16
3252.078152,3.283648e-16
3255.841925,2.83301e-16
3259.605698,3.543463e-16
3263.369471,3.981882e-16
3267.133244,5.231948e-16
3270.897017,3.927261e-16
3274.66079,3.88466e-16
3278.424563,3.683115e-16
3282.188336,3.652694e-16
3285.952109,4.145994e-16
3289.715882,4.070691e-16
3293.479655,6.240272e-16
3297.243428,4.058458e-16
3301.007201,3.941236e-16
3304.770975,3.630125e-16
3308.534748,3.196358e-16
3312.298521,4.081319e-16
3316.062294,3.311766e-16
3319.826067,3.136124e-16
3323.58984,3.82469e-16
3327.353613,3.513692e-16
3331.117386,3.71383e-16
3334.881159,4.25563e-16
3338.644932,3.496786e-16
3342.408705,2.566799e-16
3346.172478,2.391771e-16
3349.936251,2.70513e-16
3353.700024,2.54982e-16
3357.463797,2.861928e-16
3361.22757,3.756915e-16
3364.991343,3.303499e-16
3368.755116,3.61114e-16
3372.518889,2.874944e-16
3376.282662,2.880602e-16
3380.046435,3.315579e-16
3383.810209,2.723034e-16
3387.573982,2.866441e-16
3391.337755,3.708494e-16
3395.101528,4.007275e-16
3398.865301,4.079658e-16
3402.629074,3.830503e-16
3406.392847,2.885492e-16
3410.15662,2.816552e-16
3413.920393,3.444645e-16
3417.684166,3.805249e-16
3421.447939,3.75811e-16
3425.211712,4.281384e-16
3428.975485,3.780011e-16
3432.739258,3.381729e-16
3436.503031,3.75707e-16
3440.266804,9.400664e-16
3444.030577,8.186571e-16
3447.79435,4.956116e-16
3451.558123,5.915308e-16
3455.321896,4.388236e-16
3459.085669,3.162577e-16
3462.849443,2.92997e-16
3466.613216,3.117418e-16
3470.376989,3.044796e-16
3474.140762,3.227579e-16
3477.904535,3.017769e-16
3481.668308,3.316188e-16
3485.432081,3.639979e-16
3489.195854,3.317434e-16
3492.959627,3.486223e-16
3496.7234,3.977791e-16
3500.487173,3.442188e-16
3504.250946,4.002356e-16
3508.014719,4.123259e-16
3511.778492,3.318192e-16
3515.542265,3.492705e-16
3519.306038,3.365446e-16
3523.069811,3.240685e-16
3526.833584,3.561642e-16
3530.597357,3.857296e-16
3534.36113,3.323653e-16
3538.124903,3.437914e-16
3541.888677,3.8978e-16
3545.65245,3.573417e-16
3549.416223,3.509428e-16
3553.179996,3.164708e-16
3556.943769,3.504559e-16
3560.707542,3.962759e-16
3564.471315,3.233888e-16
3568.235088,3.165191e-16
3571.998861,3.504233e-16
3575.762634,3.230687e-16
3579.526407,3.444818e-16
3583.29018,3.665457e-16
3587.053953,3.34157e-16
